,Unnamed: 0,video_id,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,description
0,0,6ENfrgsVoFs,"Կարմիր բլուր, Սերիա 79, Անոնս / Red Hill / Karmir blur",PanArmenian TV,1,2018-04-27T09:49:39.000Z,Կարմիր բլուր|Սերիա 79|Անոնս|Red Hill|Karmir blur|armenia tv|atv|panarmenian tv|2018|seria 79|արմենիա թի-վի|ա թի-վի,108583,178,19,16,
1,1,oy5dstM0n2I,"🅰️ Воспользоваться золотой картой, чтобы купить квартиру и другие лайфхаки от Насти Ивлеевой",Авторадио,10,2017-06-21T09:12:16.000Z,Авторадио|Avtoradio|Autoradio|live|прямой эфир|live Авторадио|пародии|живое выступление|музыка новая|новый клип|настя ивлеева дудь|вдудь ивлеева|настя ивлеева поет|ивлеева интервью|канал пятница|орел и решка ивлеева,960240,14277,498,377,"✪ Нам нужен миллион подписчиков! Подпишись на эксклюзивный канал ЖИВЫХ КОНЦЕРТОВ Авторадио  → http://goo.gl/swuttw

✓ Подпишись на канал живых концертов Авторадио  → http://goo.gl/swuttw
✓ Смотри прямой эфир Авторадио на сайте → https://goo.gl/W5TdlE

Аккаунты Авторадио, где можно выиграть призы.  
✓ http://vk.com/avtoradio
✓ http://ok.ru/avtoradio
✓ https://www.instagram.com/avtoradioru
✓ https://www.facebook.com/avtoradioru"
2,2,Qt9mdRX_OK8,METRO EXODUS - ПОЗОРИЩЕ!,Игорь Линк,20,2019-02-16T11:03:37.000Z,игорь линк|metro exodus|обзор|itpedia|айтипедия|шевцов|логвинов|геймплей|прохождение|epic store|steam,1105178,67974,13797,7255,"GGMoments - https://youtu.be/EDK43PaQskI
Мой ВК - https://vk.com/tokach
Мой инстаграм - https://instagram.com/link_huink"
3,3,Be6fv7T06eM,ОЛЕСЯ МАЛИБУ и её СИСЯО | СЕРДЦА за ЛЮБОВЬ - [ХУДШИЕ] 👄,ПРИЯТНЫЙ ИЛЬДАР,22,2018-04-28T10:16:53.000Z,приятный ильдар|сердца за любовь|алеся малибу|олеся малибу|олеся малибу сердца за любовь|худшие|телешоу|обзор телешоу|обзор сердца за любовь|обзор на телешоу|худшие обзор|телепередача|обзор на телепередачу|тв|тв шоу|шоу,2282328,109013,4509,3420,"Скачай Викинги, получи 200 золота!
Android - http://bit.do/eeFp6 
iOS - http://bit.do/eeFpj 
КОНКУРС MacBook Pro - https://vk.com/club164663245

Вторая серия шоу ""Худшие"" на телепередачу | телешоу ""Сердца за любовь"", где снялась всеми любимая Олеся Малибу и другие, не менее одиозные личности. Приятного просмотра!


Я в инстаграме - https://www.instagram.com/masterildar
------------------------------------------------------------
►►► Подписаться на канал - https://goo.gl/BFPlWN ◄◄◄
------------------------------------------------------------
Я в вк - https://vk.com/mastrildar
Я в инстаграме - https://www.instagram.com/masterildar
Я в телеграме - https://t.me/unpleasent
Я в твиттере - https://twitter.com/master_ildar
Паблик в вк - https://vk.com/pleasentildar"
4,4,Qo-lpH4zB38,Сколько стоит обед депутата?,Белая Рысь,29,2016-12-09T08:26:13.000Z,белая рысь|Белая Рысь|депутат|слуга народа|государственная дума|Государственная Дума|народ|воры|партия жуликов и воров|2017|60 рублей|обед за 60 рублей|обед|едро|Единая Россия|единая россия|едим россию|Едим Россию|Путин|Жириновский|политика|кремль|прожиточный минимум|люди|власть|#БелаяРысь777,441602,15298,320,1166,"Сколько стоит обед депутата?
1. Ролики канала ""Белая Рысь"", в том числе и ролики, про которые говорилось в этом видео, теперь для удобства ВСЕ на одной  странице: https://goo.gl/RwNNAN
2.  Новый канал ""Белая Рысь плюс"" (Ваши комментарии, мои стримы и не только): https://goo.gl/JdUJ76
3. канал ""Смысл Жизни"" (аудио рассказы): https://www.youtube.com/channel/UCwEgRPAJcMtCFeGpOWqxYkg
4.

Вся остальная информация тут:  https://goo.gl/QaknyP (очень рекомендуется к прочтению - там и про просмотры, и про Ваши исчезающие комментарии, и про поддержку канала, и ещё много чего!)

Внимание! 
Канал не призывает ни к каким действиям, кроме комментариев, подписки на канал, лайков и распространения роликов! Недостоверной общественно значимой информации, распространяемой под видом достоверных сообщений и создающей угрозу безопасности, в роликах канала ""Белая Рысь"" не имеется. Все источники, используемые в качестве материалов для роликов указаны. Я не имею причин не доверять этим источникам, и если там вдруг имеется какая либо недостоверная информация, проверить которую лично у меня нет возможности, то значит меня ввели в заблуждение.  Никакого оскорбления или явного неуважения к органам власти в роликах канала не имеется, и если Вам что-то показалось, то значит это Ваши домыслы, а также это Ваше личное мнение, и автор не несёт ответственности за Ваши бурные фантазии! Все совпадения случайны. )

ОГРОМНЕЙШЕЕ ВАМ СПАСИБО ЗА ПОНИМАНИЕ И ПОДДЕРЖКУ!

💗 Likecoin – криптовалюта за лайки: https://likecoin.pro/@makler0008/gzz6/eww3"
5,5,UtEsVT2Uc6M,Hello Neighbor Cartoon Bendy Jumpscare 360,Video Game News,20,2019-11-30T15:00:08.000Z,video game news|vgn|hello neighbor gameplay|hello neighbor alpha|hello neighbor secret|hello neighbor ending|download hello neighbor|hello neighbor juego|hello neighbor alpha 4|hello neighbor mod|unreal engine|kid|family|child|friendly|funny|vr|360|Bendy and the Ink Machine|bendy|boris|alice|bendy mods|bendy games|bendy 360|ink machine|vr video|vr 360|360 video|360 video hello neighbor,33692,363,40,34,"👑Thank you so much for watching our videos👑
Become a Member TODAY to unlock AWESOME STUFF
https://www.youtube.com/channel/UCitsvZeConV2Im24BVFH8hg/join

We love getting letters and fan art. SEND IT TO- 
videogamenewscontact@gmail.com or https://twitter.com/VGNRISE

⭐Keep up With us⭐
🔵Don't forget to Subscribe
https://www.youtube.com/channel/UCitsvZeConV2Im24BVFH8hg?sub_confirmation=1
🔶(Bro) Youtube Channel https://www.youtube.com/channel/UCgAWaxGf9BzfiqWR8AR7Hcw?sub_confirmation=1
🔵VGN MERCH!!! https://teespring.com/stores/video-game-news
🔶Steam Profiles http://steamcommunity.com/profiles/76561198029533937
🔵(Bro) Steam Profiles http://steamcommunity.com/profiles/76561198025705622
🔶Twitter https://twitter.com/VGNRISE
🔵INSTAGRAM https://www.instagram.com/videogamenewsrise/

✨👑✨Check Out these awesome playlists✨👑✨
▶Hello Neighbor Mods https://www.youtube.com/playlist?list=PLJfH9AHDYJNDvb2PKu7wJW6D1Vrz2PhPC
▶Bendy and the Ink Machine https://www.youtube.com/playlist?list=PLJfH9AHDYJNDqVRiaCI5kxMlJWxa1dD2E
▶Hello Neighbor Pranks https://www.youtube.com/playlist?list=PLJfH9AHDYJNAbVftIKCTZu_VosQ1tqAgG
▶Hello Neighbor Fusion https://www.youtube.com/playlist?list=PLJfH9AHDYJNB9nTgpybwJOHWxFSQhtcZs
▶Hello Zombies https://www.youtube.com/playlist?list=PLJfH9AHDYJNDM_3OSm0i28QKB_3zozXBL
▶Speed Run https://www.youtube.com/playlist?list=PLJfH9AHDYJNCYhDL5SjIZrX7Oxu14MzYd
▶360 VR videos https://www.youtube.com/playlist?list=PLJfH9AHDYJNDVru8CipgDe6QDFIhPeAYs

Games we Play:
Hello Neighbor, Bendy & the Ink Machine,Baldi basics,Roblox,FNAF/Five Nights at Freddy's,dark deception,cuphead,granny,Garry's Mod, Undertale,  Minecraft, sister location, Pokemon, Draw a Stickman, Tattletail, Classic Games, MMORPG, Flash Games and many more.

We also take game requests. Just ask during the live stream or leave a comment in the chat and we'll try to post videos /
live steam it.

#helloneighbor #videogamenews #vgn"
6,6,0YMC_gzXgTk,САМЫЕ СТРАННЫЕ ЛАЙФХАКИ В МОЕЙ ЖИЗНИ!,Поззи,24,2018-12-06T15:43:53.000Z,Поззи|Реакция|Лайфхаки|5-Minute Crafts,4957621,67942,4688,9638,"●Спасибо за Лайк и Подписку Бро \(^ヮ^)/
●Реакция на самые безумные лайфхаки!

●Предыдущий ролик - https://youtu.be/-jpdDCshXVg
●Рандом ролик - https://youtu.be/daG6ZfmEtYU

●https://instagram.com/pozzifir/ - Моя Инста
●https://vk.com/pozzitifonshow - Моя страничка ВК
●http://vk.com/pozzitifshow - Группа ВК"
7,7,dMI9R3Dgmc4,"ЧТО, ЕСЛИ нет ЗВУКА",Что если,24,2018-09-14T15:32:05.000Z,что если|знакомьтесь боб|игры разума|что если звук|голос|звук|песни|музыка|кино|немое кино|молчание|тишина|тихо|нет звука,2421219,65378,1749,3281,"ВКонтакте: https://vk.com/whatif_official
Сотрудничество: thatif@wildjam.ru
Канал «ИГРЫ РАЗУМА»: https://goo.gl/yhaAj1
Канал «Знакомьтесь, Боб»: https://goo.gl/5gHHVM

#чтоесли"
8,8,uG2TKWVtEPQ,Выращивание УРОЖАЙНОЙ моркови МОЙ СПОСОБ от семян до урожая,vogorode.pro,22,2018-01-18T13:00:05.000Z,Практика природного земледелия|Наталья Сморчкова в огороде про vogorode.pro|Выращивание ранней моркови|выращивание поздней моркови|мульчирование моркови|защита моркови от морковной мухи|Хитрый способ выращивания моркови|урожайная морковь|морковь без прополки|морковь без окучивания|В огороде про|вогороде про|vogorode.pro,880873,10032,410,526,"Мой способ выращивания моркови - от семян до урожая. Мульчирование моркови дает возможность выращивать морковь без прополок. Защита от морковной мухи. Выращивание ранней и поздней моркови.
На канале: Наталья Сморчкова и другие авторы из разных регионов - результаты природного земледелия, высокая урожайность всех культур, и как этого добиться.
Наш сайт http://vogorode.pro"
9,9,ZpuiVAK5gMA,RCC 5: Николай Алексахин — Родриго Корейя | НОКАУТ | MMA,FightSpace,17,2018-12-15T15:49:26.000Z,николай алексахин|rcc 5|рсс 5,210136,1446,116,132,"👑 RCC 5. Шлеменко - Билльштайн 
🤼‍♂ Live 15 декабря 15:00 мск
✊🏻 Самый громкий российский турнир -2018 

Александр Шлеменко (56-12) и Йонас Билльштайн (20-5-1) возглавят битву в Екатеринбурге. Немец ведет серию из пяти побед и одной ничьей, а вот россиянину нужно исправлять три поражения кряду, чтобы снова отправлять резюме в UFC. Интригующе? Не то слово. 

Но посмотрите весь кард: 

Александр Шлеменко (56-12) vs. Йонас Билльштайн (20-5-1) 
Иван Штырков (14-0-1) vs. Тиаго Сильва (21-7) 
Михаил Мохнаткин (11-2-2) vs. Франсимар Барросу (21-7-1) 
Венер Галиев (29-10) vs. Диего Брандао (23-13) 
Антон Вязигин (11-3) vs. Джеронимо Дос Сантос (41-20-1) 
Михаил Рагозин (12-3) vs. Клебер Сильва (15-9) 
Николай Алексахин (21-5) vs. Крис Кертис (19-5) 
Денис Лаврентьев (6-0) vs. Виктор Генри (14-4) 
Георгий Кичигин (18-5) vs. Русимар Пальхарес (19-9-1) 
Егор Голубцов (17-6) vs. Денис Канаков (9-1) 
Александр Грозин (10-2-1) vs. Александр Матмуратов (9-3) 
Магомедсайгит Аликбеков (9-1) vs. Шейн Кэмпбелл (16-6) 
Артур Караваев (7-5) vs. Василий Зубков (14-8) 

Начинаем онлайн-трансляцию в субботу с 15:00 мск. Приходите, будет жарко 🔥 

Работал весь день? Не беда - традиционно делаем повтор трансляции на следующий день в 19.00 мск. Приходи и обсуждай любимый спорт с единомышленниками! 

Информационные партнеры:
UFC (https://vk.com/ufc_news)
БОКС (https://vk.com/allboxing)

Смотрите только на FightSpace.

Жми https://vk.com/app5728966_-59223673#213040 и никогда не пропустишь новые эфиры!

Страница ВКонтакте: https://vk.com/fight.space
Мы на FaceBook: https://www.facebook.com/fightspaceunited
Инстаграм: https://www.instagram.com/fightspace_world

#rcc #Шлеменко #Штырков #russiancagefighting #MMA #fightspace #ММА"
