	video_id	title	channel_title	category_id	category	publish_time	tags	views	likes	dislikes	comment_count	description
0	r-AuLm7S3XE	Dua Lipa - Lost In Your Light feat. Miguel (Official Video)	Dua Lipa	10	Music	2017-05-26T09:01:48.000Z	Dua Lipa|Lost in your light|Miguel|debut album|dua|dua loves|new rules|idgaf|i don't give a fuck|mwah|blow your mind|pop|new pop|warner bros records|warner|dua leepa|lost in your light official|dua lipa lost in your light|lost in your light dua lipa|dua miguel|one kiss|dua 2017	81618219	461581	15208	9565	"Stream and download ""Lost In Your Light"" here: https://wbr.ec/dualipa-liyl 

The Complete Edition is here!! https://dualipa.co/completeedition

Catch me on tour: http://dualipa.com/live/

Follow me online:
https://wbr.ec/website_dualipa
https://wbr.ec/facebook_dualipa
https://wbr.ec/twitter_dualipa
https://wbr.ec/instagram_dualipa
https://wbr.ec/tumblr_dualipa
https://wbr.ec/soundcloud_dualipa"
1	Op3qq_hrO3s	【大食い】豚の角煮～究極のとろとろをめざして～ 総重量6.0㎏	/谷やん谷崎鷹人	24	Entertainment	2019-08-30T13:45:35.000Z	大食い|大食い 谷やん|谷やん 大食い|谷やん 大食い選手権|大食い選手権|谷やん|豚の角煮|豚の角煮 作り方|豚の角煮 とろとろ|豚の角煮 レシピ|豚の角煮 圧力なべ|豚の角煮 プロ|豚の角煮 炊飯器|豚の角煮 コーラ|豚の角煮 咀嚼音|豚の角煮 asmr|豚の角煮 大食い|角煮 作り方|角煮 とろとろ|角煮 炊飯器|角煮 コーラ|asmr|ASMR|ヒカル 焼肉|ヒカル 大食い|木下ゆうか|木下ゆうか ラーメン	3016978	38813	1886	5605	"※出演時間変更のお知らせ※
冒頭でお伝えしております
明日(9/1)の熊本サマーフェスティバルにつきまして
動画では17時～18時とお伝えしておりますが
連日の雨の影響で
僕の出番は14時～15時に変更となりました。。。

大変申し訳ありませんが
お間違えのないようよろしくお願い致します(^^;

⇩イベントのURLはコチラです⇩
http://uma-fes.com/0827.html

当日皆様にお会いできるのを心より楽しみにしております！




今回はみんな大好きな角煮を
「とにかく柔らかく」に焦点を当てて作ってみました(^^)
柔らかく仕上げるため
１、表面は焼かない
２、沸騰させながらとろとろにする
３、一晩寝かせて中に味を入れるのではなく表面にしっかりに絡めて仕上げる

という手法をとってみましたが
門限午後2時レベルのさよならの早さのものが完成しました♪
作り方自体も簡単ですので何かのご参考になれば幸いです(^^)

★盛り付け時の音楽★
楽曲制作：ヌビア(@nubiahistoria)

★OP音源★
↓beco様↓
https://youtu.be/FeoRdrlUkTw

★Twitter★
@Taniyaaan1125

本日もご視聴いただきありがとうございました(#^^#)

TV、イベント出演その他仕事のご依頼は
 『(株)キューブエンターテイメント　マネジメント事業部』 まで
『アドレス』
info@cube-entertainment.co.jp
『リンク』
http://www.cube-entertainment.co.jp/

↓↓お手紙・その他全てのお荷物はこちらまでお願い致します!!↓↓
『宛先』
(株)キューブエンターテイメントマネジメント事業部　谷崎宛
『住所』
〒810-0001
福岡市中央区天神5-7-3福岡天神北ビル7階"
2	JZ7N_JW1qP4	Pilipinas Got Talent 2018 Auditions: Michael Aco - Sing and Act	Pilipinas Got Talent	24	Entertainment	2018-01-14T12:08:49.000Z	ABS-CBN|Pilipinas Got Talent|Billy Crawford|Angel Locsin|FMG|Vice Ganda|Robin Padilla|Freddie M. Garcia|Robin|Angel|Vice|Billy|PGT|Pilipinas Got Talent Performances|Pilipinas got Talent Season 6|PGT Season 6|PGT 2018|PGT Performances|January 14 2018|20180113pgt|Pilipinas Got Talent January 14 episode|Toni Gonzaga|PGT Auditions|Pilipinas Got Talent Season 6 Auditions|Michael Aco|Sing and Act|#PGTPasabog	5565155	19992	1688	1845	"Now on its 6th season, Pilipinas Got Talent showcases world-class pinoy talents and phenomenal performances! See all the latest updates and exclusives here.

Watch the full episodes every Saturday (7PM) and Sunday (7:30PM)

Subscribe to the ABS-CBN Piliipinas Got Talent channel! - http://bit.ly/1REigeY

Visit our official website!
http://pilipinasgottalent.abs-cbn.com

Follow our social media accounts:
Facebook: https://www.facebook.com/PilipinasGotTalent.PGT/
Twitter: hhttps://twitter.com/ABSCBNPGT
Instagram: hhttps://www.instagram.com/abscbnpgt/"
3	GiMI6MWC6y4	白鳥と猫の感動秘話　美しき思い出はインスタグラムで永遠に‥【Eng CC】	Pastel Cat World	15	Pets & Animals	2018-11-08T10:12:27.000Z	白鳥|猫|Emotion|Story|Swan|and|Cat|Beautiful|Moment|Forever|Shine|Instagram|Photo|walk|感動|秘話|美しい|思い出|インスタグラム|永遠|散歩|写真|撮影|インスタ映え|スポット|Eng CC	35548	1422	26	119	"今回はインスタグラムのアカウント開設に伴い、ネコ吉と一緒にインスタ映えしそうな写真スポットを探しに行って来ましたが、ネコ吉は大冒険の末、大きなお池で美しい二匹の白鳥に出会いました。

別れ際に白鳥さんが「餌をくれ～！」‥いや、「インスタグラムのアカウントを教えてくれ～！」と猛スピードで追い掛けて来た時は思わず感動してしまいましたが、その後白鳥さんがネコ吉をフォローしてくれたのかどうかは不明です。

と言う訳でインスタグラム「Pastel Cat World 公式アカウント」はこちらになります↓
https://www.instagram.com/pastelcatworld/

これまで写真の方はHPのネコ吉写真展、ボス吉写真展の方でアップしていましたが、HPの容量対策として、今後はインスタグラムの方で公開していきます。
ブログの方では1年ほど前から告知していたのにも関わらず、なかなかそちらに手を回す事が出来ず、遅くなってしまい本当にすみませんでした。
とりあえずインスタグラムの方では2018年1月分からの写真を掲載していきますが、ほぼ1年分の写真が溜まっていて時間も掛かりそうなので、これから少しずつアップしていきます。

それと別件ですが、「TikTok」、「TopBuzz」等の運営を行っているBytedance株式会社の方より、同社が運営しているプラットフォーム上で開設されている「Pastel Cat World」のアカウントについて本人かどうかの確認の連絡が来たのですが、こちらで該当のアカウントを確認をした所、当チャンネルのアイコンを勝手に使用され、当チャンネルの動画が100本以上無断転載されている状態となっていました。
既にフォロワーの方も260名ほどいらっしゃいましたが、そちらのアカウントは当チャンネルとは全く関係のない「ﾆｾﾓﾉ Cat World」なのでご注意下さい。（既に運営の方で動画は全て削除して頂きました）

一応パクリチャンネルや動画の無断転載に関しては今後も起こる事が予想されるので、今回これを機会に著作権対策としてTopBuzz上にも公式アカウントを開設し、YouTubeチャンネルと同期させる事にしましたので、そちらのアカウントもお知らせしておきます。

【TopBuzz公式アカウント】
https://www.topbuzz.com/user/6618771975987511302/publish

今後YouTubeに公開した動画が自動的にTopBuzz上でも公開されるようになりますが、TopBuzzに限らず、当チャンネルがリンクをしているアカウント以外は全て偽物だと思って頂いて間違いありませんので、その点どうぞよろしくお願いします。

【ブログ】11/3 白鳥とお友達になったネコ吉
https://xn--tck8b540n.com/blog/2018-11/18.11.3.html

【ネコ吉＆ボス吉カレンダー2019】（予約期限2018/12/13まで）
https://nekokichi-bosskichi-online.com/

☆動画を見て頂き有難うございます☆
当チャンネルでは二匹の猫（ネコ吉＆ボス吉）の楽しい日常や、猫達に関するDIY動画等を公開しています。基本的にお昼がショート動画、夜がちょっと長めのメイン動画です。
動画が気に入って頂けましたら是非チャンネル登録をお願いします。

 Thank you for watching our videos. On this channel, we have uploaded happy daily life videos of the two cats and DIY for Cats videos. If you like the videos, please register this channel by all means.

【チャンネル登録】
Please subscribe to my channel.
https://www.youtube.com/channel/UCq_T...

【ネコ吉ワールド】（公式HP）
http://xn--tck8b540n.com/
※メイン動画はHP上でブログと一緒に先に公開をし、チャンネル上では字幕の翻訳、翻訳したテキストの設置作業を経てから数日後に公開をしています。

【ネコ吉LINEスタンプ】
https://store.line.me/stickershop/aut...

【おしゃべりCafe本店】
https://plus.google.com/u/0/114191604...

【Eng CC】と言う表記について
メイン動画のタイトルやサムネイルに入っているEng CCと言う表記は、その動画が英語字幕に対応している事を意味しています。
Eng CC対応の動画では、動画再生画面右下の字幕アイコンをクリックする事で、英語字幕のオンオフが出来ます。"
4	wVnIgsJCUzg	大型ユンボで初整地！キャンプ場作り ドラグショベル編	カズチャンネル/Kazu Channel	26	Howto & Style	2019-07-18T10:10:00.000Z	Kazu|カズ|商品レビュー	213497	2179	146	319	"▼編集者コメント
ともです。

今週から夏休みスタートする方もいると思いますが
宿題は忘れずにしましょうね。
私は、夏休み最終週にひどく追い込まれて焦ってた記憶ばかりです。
YoutubeでもTwitterでもキャンプ関連の投稿が増えてきましたね。
皆様、怪我なきように楽しみましょう。


↓前回のタイヤショベル整地編
https://youtu.be/NPukx0APIIQ


↓使用機材
GH5s http://amzn.to/2BJzI07
GH5 http://amzn.to/2qUiFDh
レンズズーム http://amzn.to/2pWbd6z
レンズ単焦点 http://amzn.to/2qvsw1s
マイク大 http://amzn.to/2qyT53Q
マイク小 http://amzn.to/2rhB10L
GoPro7 https://amzn.to/2KDaP89
クイックシュー http://amzn.to/2qyRyL6
GC550 http://amzn.to/2qyRRFE
三脚旅用 http://amzn.to/2qUmW9U
三脚部屋用 http://amzn.to/2rtDe6s
DRONE http://amzn.to/2pYQNsN


◆カズさんのTwitter
https://twitter.com/kazuch0924

◆カズさんのインスタ
https://www.instagram.com/kazuch0924/

◆カズ嫁のTwitter
https://twitter.com/8jizeninsyugo

------------------------------------------------------------------------------ 
楽曲提供：Production Music by http://www.epidemicsound.com 
------------------------------------------------------------------------------


どれもボチボチ動画更新中！
◆カズチャンネル登録↓
http://bit.ly/kazuch-T
◆カズ飯チャンネル登録↓
http://bit.ly/kazumeshi-T
◆カズゲームズチャンネル登録↓
http://bit.ly/kazugames-T


【プロフィール】
福井在住のカズです。
小学校時代は遊ぶ友達があまりいなかったので
練り消し作り・一人学校探検で休み時間を過ごしてました。
えぇ、ごくごく普通の人です。

とりあえず一度きりの人生、後悔しないよう
いろんな事やってみてる所なう。

↓ファンレターの宛先はコチラ
〒106-6137
 東京都港区六本木 6-10-1
六本木ヒルズ森タワー 37階
カズさん宛

↓お仕事のご依頼はこちらから
http://www.uuum.co.jp/inquiry_promotion"
5	RrjN4hjCW9Q	【大食い】超爆盛り天丼！総重量6.5㎏～旬の食材を使って～	/谷やん谷崎鷹人	24	Entertainment	2018-10-09T14:17:29.000Z	大食い|大食い 谷やん|谷やん|天ぷら 大食い|大食い 2018|大食い 2017|大食い 2016|大食い 2015|大食い 2014|おおぐい|天ぷら 揚げ方|天ぷら 作り方|天ぷら プロ|天ぷら 音|天ぷら 近藤|天ぷら 衣|天丼|天丼 大食い|天丼 タレ|天丼 たれ 作り方|天丼 作り方|鰯 刺身|鰯 天ぷら|鰯 さばき方|鰯 手開き|鰯の開き方|鰯 開き方|鰯 さばき方 簡単|鰯の手開き|鰯の刺身|鰯 刺身 さばき方|鰯 骨抜き	2349846	18843	1417	2397	"今回は今が旬の食材を使っての爆盛天丼でございます(^^)
10時間以上の調理時間がかかってしまいましたが
それに見合うだけの美味しさと達成感を味わえました(笑)

一応今回のメイン食材は「真鰯」だったんですが
やはりこの時期の鰯は脂のノリが半端じゃないですね,,,,。
火を通してもフワッフワで
口のなかでとろける食感で抜群に美味しかったです(*^^*)

刺身で食べてもよし。
火を通してもよし。
さばき方も凄く簡単ですのでご機会がありましたら是非！


↓今回の詳しいレシピはコチラ！↓










今回、動画の編集がなかなか大変で
詳しいレシピを仕上げる体力まで使い果たしてしまいました,,,,(;_;)
今回のレシピはお休みさせてください(;_;)
次回こそは頑張ります(^^;






本日もご視聴いただきありがとうございました(#^^#)
TV、イベント出演その他仕事のご依頼は
 『(株)キューブエンターテイメント　マネジメント事業部』 まで
『アドレス』
info@cube-entertainment.co.jp
『リンク』
http://www.cube-entertainment.co.jp/

↓↓お手紙・その他全てのお荷物はこちらまでお願い致します!!↓↓
『宛先』
(株)キューブエンターテイメントマネジメント事業部　谷崎宛
『住所』
〒810-0001
福岡市中央区天神5-7-3福岡天神北ビル7階"
6	0dLlG-3TW-4	【尾道ラーメン】尾道よこっちょラーメン８人前＋炒飯一升！【双子】	はらぺこツインズ	24	Entertainment	2018-04-27T11:00:00.000Z	大食い|双子|かこあこ|はらぺこ|ラーメン|チャーハン|SocialEating|FoodChallenge|MUKBANG|デカ盛り	521184	4257	313	351	"今回は視聴者さんから尾道よこっちょラーメンを送って頂きました！本当にありがとうございました！ラーメンが美味しすぎて炒飯だけではおかずが足りませんでした…。
尾道ラーメンを食べに広島に旅行に行きたいです＼(^o^)／

尾道よこっちょラーメン　醤油味
柳津町食糧企業組合さん

#大食い#はらぺこツインズ#広島県尾道ラーメン

月・水・金の20時に更新(たまに変更ありです！)
食べることが大好きな双子👭こう見えて26です！！！よろしくお願いします！！！

お手紙の送り先はこちら↓

〒150-0002
東京都渋谷区渋谷2-17-5 シオノギ渋谷ビル6F
株式会社BitStar E-DGE はらぺこツインズ宛

までよろしくお願い致します！
※生物や常温で保存が出来ないものはお受け取りすることができませんのでよろしくお願い致します。

小野かこ(姉)
Twitter→https://twitter.com/onokako_Twins
Instagram→https://www.instagram.com/onokako_twins

小野あこ(妹)
Twitter→https://twitter.com/onoako_Twins
Instagram→https://www.instagram.com/onoako_twins"
7	tJ6OcqtRBdI	東大世界史勢の知識すごすぎ！ベートーヴェンの年代まで推測！ボドゲ実況タイムライン	QuizKnock	24	Entertainment	2018-06-08T10:31:22.000Z	クイズ|タイムライン|ボードゲーム|ボドゲ|東京大学|東大|世界史|年号|文系|ホイホイ	1241511	12563	241	768	"あらゆる周辺知識を活かせばどんな情報でも論理的に導くことができる…。
東大生が年代推理ゲーム「タイムライン」を超本気プレイ！

前回の動画はこちら↓
https://www.youtube.com/watch?v=ACCc8E-1u2o

今日の一問の答えはこちら↓
全部できたら相当な時代センスの持ち主！？どっちが先輩？クイズ
http://quizknock.com/rekishidrama/
ーーーーーーーーーーーーーーーーーーーー
◆QuizKnockサブチャンネル
https://goo.gl/MxFgXv
未公開シーン、質問コーナー、会議のこぼれ話など、ゆるーくやっていきます。

◆QuizKnockの質問コーナーへの質問はコメント欄からお願いします。

◆Twitter
伊沢拓司＠tax_i_ (http://twitter.com/tax_i_)
クイズノック＠QuizKnock (http://twitter.com/QuizKnock)

◆お問い合わせ
こちら→quizknock@gmail.com
※勉強法など個別の質問はサブチャンネルのコメント欄へお願いします。

◆字幕協力はこちら
https://goo.gl/mZiJDv

◆提供
Powered by QuizKnock (http://quizknock.com)
一部音源は下記サイト様音源を使用しています。
Music is VFR様→http://musicisvfr.com/
ポケットサウンド様→https://pocket-se.info/
魔王魂様→https://maoudamashii.jokersounds.com/
フリーBGM・音楽素材 MusMus→http://musmus.main.jp/"
8	Oi0Lnppjr2o	涙 ついにあーにゃんの兄弟2匹が一緒に現れた！ネコ歩き	Afro Blue-Sub Channel	15	Pets & Animals	2019-10-29T13:00:10.000Z	あーにゃん|ア太郎|猫|ネコ|おもしろ|おもしろ猫|鳴き声|猫の鳴き声|可愛い鳴き声|甘える|会話|お返事|お喋り|話す|かわいい|可愛い猫|キュート|笑える|可笑しい|楽しい|ほのぼの|癒し|和む|人懐こい|懐く|気持ち|コミュニケーション|仲良し|Afro Blue|Cats|talking cat|散歩|ついてくる|喧嘩|威嚇|テリトリー|縄張り|争い|お腹|見せる|マーキング|集会	19983	995	15	80	"本日もお馴染みの猫さんがいっぱい登場します

いつもよりも短目なので最後の方は急にシーンが変わります　無理矢理に入れた感w"
9	ypim7XHxNe8	隣の三毛猫姉さんに何か話しかけている様子のボス猫	Pastel Cat World	15	Pets & Animals	2018-03-12T03:00:02.000Z	猫|三毛猫|話す|ボス猫|食事|cat|calico|Meal|ねこ|ネコ|様子|speak	230471	3395	107	237	"お食事中、先住猫のネコ吉に何か話しかけている様子のボス吉でした。

ボス吉「姉ちゃん、今夜は冷えるにゃ。暖かくして寝るといいにゃ。」
ネコ吉「食事中は私語厳禁にゃ！」


【チャンネル登録】
Please subscribe to my channel.
https://www.youtube.com/channel/UCq_TsRds1PuHzPfLoSqGyZw

【ネコ吉HP】（動画倉庫＆ブログ）
http://xn--tck8b540n.com/
※ブログでのネタバレ防止やYouTubeチャンネルでの公開時間調整の為、基本的に最新動画はHP上で先に公開をして、チャンネル上では1日～2日後に公開をしています。

【おしゃべりCafe本店】
https://plus.google.com/u/0/114191604573614814936"
