	video_id	title	channel_title	category_id	category	publish_time	tags	views	likes	dislikes	comment_count	description
0	6KbHSD8gCIM	2017 KBS가요대축제 Music Festival - 마마무 - Intro + 나로 말할 것 같으면 (Intro+Yes I Am. - MAMAMOO). 20171229	KBSKpop	24	Entertainment	2017-12-29T12:28:57.000Z	Korean|Music|Show|K-pop|KBS|마마무|나로 말할 것 같으면|MAMAMOO|Yes I Am|2017 KBS가요대축제|20171229|Music Feastival|Festival|음악|music|k-pop|idol	272531	9058	76	397	마마무 - Intro + 나로 말할 것 같으면 (Intro+Yes I Am. - MAMAMOO)
1	jzck9bg0b6o	NU'EST FUNNY AND CUTE MOMENTS [PART 4]	Mari B.	22	People & Blogs	2017-10-01T12:54:58.000Z	NU'EST|HWANG MINHYUN|MINHYUN|ARON|KWAK YOUNGMIN|KWAK ARON|REN|CHOI REN|CHOI MINKI|BAEKHO|KANG DONGHO|JR|KIM JONGHYUN|JONGHYUN|LOVE|WANNA ONE|NU'EST FUNNY MOMENTS|NU'EST CUTE MOMENTS|NU'EST FUNNY AND CUTE MOMENTS	109461	3106	26	81	"Enjoy NU'EST funny and cute moments video part 4  i will have more coming soon


* I do not own this content! No copyright infringement intended!
Credits go to the owners"
2	8WeR_iNbIbA	'어릴적 나의 꿈' (홈런왕주의) 레전드상황극!! 꿀잼 삼성라이온즈 [ 꾹TV ]	꾹TV(Kkuk TV)	24	Entertainment	2018-03-07T10:30:01.000Z	삼성라이온즈|삼성|야구|투수|타자|이승엽|홈런|홈런왕|상황극|드라마|꿈|장래희망|야구선수|선수|스포츠|야구공|어린이회원|꿀잼|예능|개그|리뷰|레전드|재미|추천|인기|동영상|꾹tv삼성라이온즈|꾹tv삼성|꾹tv야구|꾹tv투수|꾹tv타자|꾹tv이승엽|꾹tv홈런|꾹tv홈런왕|꾹tv상황극|꾹tv드라마|꾹tv꿈|꾹tv장래희망|꾹tv야구선수|꾹tv선수|꾹tv스포츠|꾹tv야구공|꾹tv어린이회원|꾹tv꿀잼|꾹tv예능|꾹tv개그|꾹tv리뷰|꾹tv레전드|꾹tv재미|꾹tv추천|꾹tv인기|꾹tv동영상|꾹삼성라이온즈|꾹삼성|꾹야구|꾹투수|꾹타자|꾹이승엽|꾹홈런|꾹홈런왕|꾹상황극|꾹드라마|꾹꿈|꾹장래희망|꾹야구선수|꾹선수|꾹스포츠|꾹야구공|꾹어린이회원|꾹꿀잼|꾹예능|꾹개그|꾹리뷰|꾹레전드|꾹재미|꾹추천|꾹인기|꾹동영상|장난감|장난|TOY|toy|꾹tv|꾹|꾹이|RNr|RNrTV|꾹티비|티비|뀩	1908256	12124	788	5570	"꾹TV일상채널 구독하기 http://goo.gl/CFF7ro?sub_confirmation=1 
구독=재미,입담 UP! UP!!
인스타그램 //www.instagram.com/kkuktv/

우리 꾹TV크루가 삼성라이온즈 어린이회원 모집에 함께 하게되었습니다!!
야구장을 빌려 야구도 해봤어요!!
꾹크루의 어릴적 꿈은 무엇이었고 과연 꿈을 이뤘을까요!?
영상으로 확인해주세요^^!

삼성라이온즈 어린이회원 모집

판매일시 
1. 온라인 → 3월 13일(화) 14시
           팀스토어 온라인몰(http://samsunglionsmall.com)
2. 오프라인 → 3월 15일(목)
           대구삼성라이온즈파크 팀스토어 매장 및 
           신세계백화점(동대구) 팀스토어 매장

*3000명 선착순모집
*판매금액 : 88,000(VAT포함)

혜택 : 어린이회원 전용 유니폼, 이승엽 그래피티 티셔츠, 야구헬멧, 
       전용 야구공, 패스포트, 가족50%할인권 (최대4인) 1매
           

*본 영상은 광고가 포함되어있습니다.*

터닝메카드 골드버전 만들기 도전!! 
https://youtu.be/osVgy1Z7Tho

미니 인형뽑기 기계 10분 미션 도전!! 영상 https://youtu.be/ujefDFNyBh0

고퀄리티 포켓몬스터 스페셜 컬렉션 뽑기!! 레전드 영상 https://youtu.be/uUBpFWEAKNY

포켓몬스터 황금딱지 한박스 뽑기!!! 영상 https://youtu.be/ojP3pcJFL-k

꾹TV 소통!! QnA 2번째 시간!! 신상공개!?! https://youtu.be/jx7sJ1wdbRA

터닝메카드 야광 그리핑크스 만들기 도전!! 영상 https://youtu.be/iKDl78SAvLA

킨더조이 한정판 쿵푸팬더3 편의점 싹쓸이 까기! 1탄 https://youtu.be/95NddzP4BEs

액체괴물 만들기 첫 도전기!! (우유컨셉?) 영상 https://youtu.be/6KS4jhARhYk

케로로 대장군 프라모델을 만들어보자!![마지막회] https://youtu.be/ODwyeL_PLm8

고퀄리티 포켓몬스터 피규어뽑기!! (매맞는 꾹이..)편 영상 https://youtu.be/6LiqiMNoZhY

레고 넥소나이츠 신제품 배틀블래스터조립!(상황극)편 영상 https://youtu.be/7Huu2oTCISE

신제품 레고 마인크래프트 '아이언골렘' 조립(상황극)편영상 https://youtu.be/40QvJXZ4pNw"
3	n49Pkhq_UQg	[뉴이스트]젤리:보컬로해도 되겠닼ㅋ배코랑함께 파트를바뀐다면?JR:I can be a surprising vocal too! #YTBoostRequest	____SereneY	24	Entertainment	2017-11-18T14:48:46.000Z	nuest|nuest w|jr kim jonhyun|Ren choi minki|Aron kwak youngmin|baekho|kang dongho|hwang minhyun|뉴이스트W|뉴이스트|웃겨 영상|变装 换part|funny laughing video|백호 강동호|김종현 쩨알|렌 최민기|아론 곽영민|황민현|고음 부르기|high notes|changing switching part|https://www.youtube.com/watch?v=S2YWDM9TK6k|https://www.youtube.com/watch?v=bo91gAECisw|https://www.youtube.com/watch?v=lj3UqrZMK3w|高音 金钟炫	218010	4778	16	128	"No copyright infringement intended
.
.
.
Do not re-upload and edit & please credit to repost.
재업로드 및 2차가공 금지입니다.
.
.
INSTAGRAM： serene1011
SOUNDCLOUD： https://goo.gl/9ec49A / @sy1011
TWITTER： https://goo.gl/uzyH4r / @_ssereney
SMULE： https://goo.gl/jqMyx4 / @___SY

No copyright infringement intended

""Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use"""
4	mgd-dSDfb4E	[SHINee 종현 빈소] 방탄소년단·엑소·소녀시대·보아 등 애도 이어져 (샤이니, JONGHYUN, BTS, , Girls' Generation, EXO, BoA)	TongTongTV 통통컬처	24	Entertainment	2017-12-19T05:04:07.000Z	SHINee|샤이니|JONGHYUN|종현|유서|우울은 날 집어삼켰다|디어클라우드|나인|Lonely|온유|Key|민호|태민|방탄소년단|엑소|소녀시대|보아|BTS|Girls' Generation|EXO|BoA	6090012	121534	2599	8655	"고인의 명복을 빕니다. 
지난 18일 갑작스레 세상을 떠난 샤이니 종현(27·본명 김종현)의 빈소 앞에 흰 국화가 하염없이 쌓여갔다. 적막이 흐르는 가운데 조문객들의 발걸음 소리, 조화의 위치를 옮기는 소리가 간간이 공기를 흔들 뿐이었다.
19일 서울 송파구 풍납동 서울아산병원 장례식장 2층에 마련된 빈소에는 오전부터 유족들이 참여한 가운데 입관식이 치러졌다.
오전 11시부터 본격적인 조문이 시작됐고, 상주 자격으로 조문객들을 맞이한 것은 샤이니의 남은 멤버들(민호, 태민, 온유, 키)이었다. 
소속사 SM엔터테인먼트 이수만 총괄 프로듀서를 시작으로 종현과 SM에서 한솥밥을 먹던 보아·소녀시대·엑소·NCT를 비롯해 방탄소년단이 비통한 표정으로 빈소에 들어섰다. 소녀시대 윤아는 눈시울을 붉히며 슬픔을 참지 못했다.
영하를 밑도는 추운 날씨에도 팬 수백 명의 발걸음이 끊이지 않았다. 
SM은 팬들이 고인의 넋을 기릴 수 있도록 같은 장례식장 지하 1층 3호실에 조문 공간을 마련해 낮 12시부터 조문객을 받았다.
고인의 발인은 오는 21일 오전이며, 장지는 정해지지 않았다.
통통TV : http://www.yonhapnews.co.kr/tongtongtv/index.html"
5	Xnoa_SGmVE0	2018년 1월 5일 MBC 뉴스데스크 생중계	MBCNEWS	25	News & Politics	2018-01-05T12:28:50.000Z	mbc|newsdesk|엠비씨|뉴스데스크|박성호|손정은|허일후	34945	315	38	65	"시민에게 응답하는
시민과 소통하는
뉴스데스크

#MBC #NewsDesk #엠비씨 #뉴스데스크"
6	AmeLgze-HMc	[영화걸작선] 16회 - 공각기동대 : 고스트 인 더 쉘	거의없다	1	Film & Animation	2017-05-22T12:37:03.000Z	데마시안|demasian|거의없다|없다|걸작선|망한영화|영화걸작선|무비|리뷰|한국영화|해외영화|movie|review|트레일러|trailer|스포|욕설|망작|공각기동대|ghost in the shell|스칼렛 요한슨|마이클 피트|기타노 다케시|루퍼트 샌더스|아비 아라드|쿠사나기 마코토|동인지|동인영화|사이버펑크|SF|화이트워싱|영화리뷰	405091	3785	122	395	"나의 쿠사나기는 저렇지 않다는!
원작 덕후 감독의 비싼 동인 영화, '공각기동대 : 고스트 인 더 쉘'!
▼▼▼▼▼ 더보기! ▼▼▼▼▼ 

*프로그램 정보*
업데이트: 매주 금요일
프로그램 홈페이지: http://www.demasian.com/tv/6207"
7	K-NLhz9yhIQ	여자만 아는 여우에게 사이다 날리는 썸남 [방과후연애 EP.03] ENG_뷰티학개론	뷰티학개론 Beautiology	26	Howto & Style	2017-12-12T09:00:01.000Z	방과후|방과후연애|후세인|방명록|싸이월드|조예린|뚝배기녀|임채연|이보림|공민규|여화이|여자의화장에는이유가있다|뷰티학개론|썸남|썸녀|남사친|여사친|연애|사랑|고등연애|고등학생연애|고등학생데이트|여적여|여자의적은여자|철벽남|사이다|사이다썰|웹드라마|웹드라마여화이|설렘|설레임|설레는드라마|설레는웹드라마|고구마와사이다	5007678	39417	894	3889	"철벽치는 썸남은 존멋탱인 것...♥
4화가 궁금하다면 올레 tv 모바일 [방과후 연애] 4화 먼저 보기 : https://kt.com/rmxz
[매주 화요일 저녁6시] 뷰티학개론 채널에서 만나요!"
8	lz7J9QWcWz0	예쁜 여자 게스트를 보고 놀라 버린 이유가..	이설 Leeseol	22	People & Blogs	2016-04-12T14:06:39.000Z	아프리카TV|BJ|인터넷방송|여캠|꿀잼|웃긴영상|게임|game	2886809	3221	516	264	"먹방 밴쯔님을 좋아한다는 친구분/ 여러분의 좋아요 눌러주기와 구독은 큰 힘이 됩니다! 
★유튜브 좋아요! 구독! 해 주세요~♥ 진심으로 감사합니다
★아프리카TV http://www.afreeca.com/bebe010
★페이스북   https://www.facebook.com/leeseol00
★인스타그램 https://www.instagram.com/leeseol00/"
9	C5UXFQG4CHs	남북정상회담 그 끝나지 않은 이야기 김정은 떠나면서 문재인 대통령 낲에 남긴 이야기 트럼프 북미 정상회담	민주역사기록소	24	Entertainment	2018-05-01T08:24:57.000Z	문재인|대통령|문재인 대통령|평화|남북|정상회담|북미|북미 정상회담|김정은|도널드|도날드|트럼프|미국|판문점|회담|정의|민주주의|peace|종전|선언|감동|연설|자유|Inter-Korean Summit|남북정상회담|노벨|평화상|진실	3302729	30202	5362	5516	"문재인 대통령 김정은 성공적 판문점 남북정상회담 치루고 한반도 평화 분위기가 무르익고 있는 요즘...

그리고 도널드 트럼프 북미 정상회담 앞두고 노벨평화상 후보 이야기 나오는 요즘...

김정은 판문점 떠나며 흘린 눈물 그리고 문재인 대통령 나눈 감동 이야기 연설.

민주주의 위해 일한 대한민국 문재인 대통령. The story of Moon Jae-In. 남북 정상회담 그리고 판문점 평화. 완전한 비핵화 선언. 종선 선언 협정 미국 도날드 트럼프 대통령 나와 서명 하나? 노벨 평화상 트럼프 받나 문재인 대통령 공동 수상 받게 되나?

남북 한국전 종전 선언 협정 과연 협상 어떻게 되나? 정상회담 지켜본 미국 언론 그리고 외국인 기자 인터뷰. 일본 아베 총리 어떤 이야기 나누나? 자유 진실 위해 문재인 대통령 걸어온 길... 김정숙 여사 그리고 국민들 생각하는 대통령

뉴스공장 김어준 총수 의견... 그리고 유시민 썰전 나와 손석희 앵커 함께 나눈 이야기... 

북미정상회담 앞으로 일정 그리고 판문점 자유의집 모습. 문재인 대통령 문프 이니 멋진 이야기... 문재인 진심 그는 무엇을 위해 인권 변호사 시절 일해왔나?"
