	video_id	title	channel_title	category_id	category	publish_time	tags	views	likes	dislikes	comment_count	description
0	Po_Zg_h7ilM	The life of a Winter Olympian in 360 VR	NBC Sports	17	Sports	2018-02-06T19:28:41.000Z	Winter|Olympics|2018 Winter Olympics|Pyeongchang|South|Koresa|olympian|360|VR|virtual reality	14248	66	15	9	"Experience what it takes to become a Winter Olympic athlete in 360 virtual reality, powered by @intel.

@intel will be showcasing the action throughout the Winter Olympic Games in virtual reality on the NBC Sports VR App. Download the app now! www.nbcolympics.com/vr"
1	iR46NfNKa9A	¡Adamari responde todas las preguntas de sus fanáticos! | Un Nuevo Día | Telemundo	Un Nuevo Día	24	Entertainment	2019-01-07T16:09:57.000Z	Telemundo|msn|Un Nuevo Día|Adamari López|Adamari|Adamari internada en el hospit|Adamari internada|Adamari habla de su enfermedad|Adamari responde preguntas de|¡Adamari responde todas las preguntas sobre la enfermedad que la llevó al hospital!|show matinal|toni costa|carolina sandoval|jorge bernal|rashel diaz|daniel sarcos|un nuevo dia|adamari lopez|karla gómez|ana maria canseco|anamaria canceco|luis fonsi	205662	2618	82	165	"Video oficial de Telemundo Un Nuevo Día. Nuestra querida Adamari López responde todas las preguntas de sus fanáticos sobre la enfermedad que la dejó internada en el hospital durante varias semanas.

YouTube: http://www.youtube.com/unnuevodia
Official page: http://www.Telemundo.com/UnNuevoDia
Facebook https://www.Facebook.com/UnNuevoDia
Twitter https://twitter.com/#!/UnNuevoDia

SUBSCRIBETE: http://bit.ly/1ykCaDr

Un Nuevo Día:
Es un programa de entretenimiento que ofrece las últimas noticias y titulares de la farándula, lo que está pasando en la vida de los famosos dentro y fuera de la pantalla. Además de los secretos más íntimos de los artistas, sus camerinos y sus hogares.

SUBSCRIBETE: http://bit.ly/1ykCaDr

Telemundo
Es una división de Empresas y Contenido Hispano de NBCUniversal, liderando la industria en la producción y distribución de contenido en español de alta calidad a través de múltiples plataformas para los hispanos en los EEUU y a audiencias alrededor del mundo. Ofrece producciones originales, películas de cine, noticias y eventos deportivos de primera categoría y es el proveedor de contenido en español número dos mundialmente sindicando contenido a más de 100 países en más de 35 idiomas.

FOLLOW US TWITTER: http://bit.ly/1aKzTGA
LIKE US ON FACEBOOK: http://bit.ly/1Bpw7JV


¡Adamari responde todas las preguntas de sus fanáticos! | Un Nuevo Día | Telemundo"
2	JXpcpqLoIwo	LA MEJOR SORPRESA!!! 🎁 NUEVO INTEGRANTE DE LA FAMILIA 🐶 *NO LO VAS A CREER* | Mariale	Mariale	24	Entertainment	2017-11-19T21:00:01.000Z	mariale|mariale marrero|mar|entretenimiento|comedia|risa|gracioso|sorpresa|mejor sorpresa|regalo|regalo sorpresa|mascota|mascotas|perrito|perro|cachorro|cachorrito|bulldog|bulldog francés|bulldog frances|french bulldog|frenchie|burrito|polinesios|los polinesios|extra polinesios|karen|lesslie|rafa|yuya|caeli|caelike|nuevo perrito|bebe|bebé|nuevo cachorrito|perro bebe|perrito bebe|perro bebé|perrito bebé|perritos|perritos chistosos|perritos bebes|perritos jugando	4990964	229640	3727	48931	"💕SUSCRIBETE💕 https://goo.gl/D9Pnww
😱 GANA 3 IPHONES X!!! SORTEO CON 3 GANADORES: https://youtu.be/Ov9ZbrEI1v4 😱
REGALO SORPRESA PERRITO CACHORRITO BURRITO

HOLA AMORCITOOOOS!!! AAAAAH QUE EMOCIOOOOOON NO LO PUEDO CREER TODAVIAAAA 😍😍😍 Estoy literal MUERTA de amorrr y ustedes también lo estarán después de ver este video LOS AMOOOOO!!! 💕😍

Si te gusta el video compártelo me ayudarías muchísimo!! 

🐶 SIGUE A BURRITO EN INSTAGRAM @burritoelperrito 🐶

Nuestra boda: https://youtu.be/XLMcdh1W3Wo

Mi canal personal: http://goo.gl/9pUoRR 
My english channel: http://goo.gl/zaoCFT 

INSTAGRAM: Mariale

FACEBOOK: MarialeOficial

TWITTER: MarialeOficial

SNAPCHAT: MarialeMarrero

En este video puedes aprender sobre: mariale, mariale marrero, mar, entretenimiento, comedia, risa, gracioso, sorpresa, mejor sorpresa, regalo, regalo sorpresa, mascota, mascotas, perrito, perro, cachorro, cachorrito, bulldog, bulldog francés, bulldog frances, french bulldog, frenchie, burrito, nuevo perrito, bebe, bebé, nuevo cachorrito, perro bebe, perrito bebe, perro bebé, perrito bebé, perritos, perritos chistosos, perritos bebes, perritos jugando

CÁMARA: http://amzn.to/1KO5fOd
EDITOR: Final Cut Pro"
3	cnTnMZHc6vA	15 DIY Room Decorating Ideas for Teenagers 🔥🔥🔥 5-Minutes Crafts Life Hacks 2018	Easy Crafts	26	Howto & Style	2018-03-10T18:22:17.000Z	diy|room decor|diy room decor|room decorating|room decorating ideas|Teenagers|15 DIY Room Decorating|5-Minutes|5-Minutes Crafts|Life Hacks|Life Hacks 2018|Crafts Life Hacks|5-Minutes Crafts Life Hacks|DIY projects|easy DIY|DIY crafts|bedroom decor|DIY bedroom decorating ideas|DIY teen|DIY bedroom ideas	8981878	91731	6374	656	"Looking for some creative DIY crafts and ideas to make your bedroom decor awesome? This fun list of DIY bedroom decorating ideas for teens has a little of everything – lighting, wall art, curtains, accessories and more. With a few of these easy DIY projects for teens, your bedroom will quickly go from blah and boring to fun and colorful!

❤️Watch more DIY room decor compilations: https://youtube.com/playlist?list=PLY4S_x595QAbCrZkOiaa4D_b-64pQq59b

These DIY teen bedroom ideas are easy to make and can be customized to fit your taste and personality! Get inspired with these cool crafts for teens and start making your DIY bedroom ideas a reality.

🔔Subscribe to Easy Crafts for more incredible howto content! https://youtube.com/channel/UCZmMLxD6PIs2GhTKwvZMn1Q

#DIY #Decorating"
4	1CAeospwAUU	Ejercicio  'de oro' de Javier Fernández en Boston	RTVE	17	Sports	2016-04-04T09:39:14.000Z	patinaje sobre hielo|patinaje|Javier Fernández|medalla de oro|oro|campeonato mundial|campeonato mundial de patinaje|Boston|rtve|Teledeporte|TDP|deportes|tve|rtve.es	952328	12606	218	605	Oro de Javier Fernández en el Mundial de Boston de Patinaje 2016
5	J690RbjOA-g	¡Adamari recuerda los amores que ha tenido en su vida! | Un Nuevo Día | Telemundo	Un Nuevo Día	24	Entertainment	2018-09-06T14:58:43.000Z	Telemundo|msn|Un Nuevo Día|Adamari López|amores en la vida de Adamari L|grandes amores de la vida de A|los novios de Adamari López|Amores de Adamari|¡Adamari recuerda los amores que ha tenido en su vida!|daniel sarcos|adamari lopez|un nuevo dia|rashel diaz|anamaria canceco|ana maria canseco|luis fonsi|show matinal|ana maría canseco|carolina sandoval|toni costa|chef james|juan manuel cortés|al rojo vivo|jorge bernal|rashel díaz|azucena cierco	695743	3619	326	509	"Video oficial de Telemundo Un Nuevo Día. Karina Monroy, corresponsal en México, se tomó la tarea de investigar cómo comenzaron y cómo terminaron los grandes amores de la vida de Adamari López.

YouTube: http://www.youtube.com/unnuevodia
Official page: http://www.Telemundo.com/UnNuevoDia
Facebook https://www.Facebook.com/UnNuevoDia
Twitter https://twitter.com/#!/UnNuevoDia

SUSCRÍBETE: http://bit.ly/1ykCaDr

Un Nuevo Día:
Es un programa de entretenimiento que ofrece las últimas noticias y titulares de la farándula, lo que está pasando en la vida de los famosos dentro y fuera de la pantalla. Además de los secretos más íntimos de los artistas, sus camerinos y sus hogares.

SUSCRÍBETE: http://bit.ly/1ykCaDr

Telemundo
Es una división de Empresas y Contenido Hispano de NBCUniversal, liderando la industria en la producción y distribución de contenido en español de alta calidad a través de múltiples plataformas para los hispanos en los EEUU y a audiencias alrededor del mundo. Ofrece producciones originales, películas de cine, noticias y eventos deportivos de primera categoría y es el proveedor de contenido en español número dos mundialmente sindicando contenido a más de 100 países en más de 35 idiomas.

FOLLOW US TWITTER: http://bit.ly/1aKzTGA
LIKE US ON FACEBOOK: http://bit.ly/1Bpw7JV


¡Adamari recuerda los amores que ha tenido en su vida! | Un Nuevo Día | Telemundo"
6	xSuTfF6jy0E	NÚMEROS GANADORES DE LOTERIA-MHONI VIDENTE	Fenomeno Studios	24	Entertainment	2016-10-06T17:45:46.000Z	mhoni vidente|vidente|mhoni|ganadores|loteria|visionaria|dinero|millonario|millonaria|ganador	1147109	23509	901	292	"Mhoni Vidente de dice que hacer para ganar la loteria, una receta para que tus números sean los ganadores.  Todo lo que quieras saber sobre dinero, amor, muerte, Mhoni tiene la respuesta.

#MhoniVidente
#Receta
#Predicciones



Quieres ser parte de la comunidad de creadores de Fenomeno Studios? Escríbenos a FenomenoCreators@gmail.com

Quieres ser parte de la comunidad de creadores de Fenomeno Studios? Escríbenos a FenomenoCreators@gmail.com"
7	ewHciOwBwZQ	Luis Fonsi recordo a su ex Adamari	FonsiHolicsMiami	24	Entertainment	2011-10-18T03:52:18.000Z	Luis|Fonsi|recordÃ³|a|su|ex|Adamariwww|savevid|com	3511237	8602	1424	601	Don Francisco Presenta. Oct. 17, 2011
8	mzd4QWhVoN4	Exatlón México | Capítulo 75, parte 1 | 29.nov.19	Exatlón México	24	Entertainment	2019-12-02T18:15:10.000Z	exatlon|exatlon mexico|Exatlón México|exatlón 2019|exatlón méxico 2019|tv azteca|azteca uno|azteca|exatlón capítulos completos|contendientes|famosos|rosique|circuito exatlón|tendencias méxcio|tendencias	28281	297	20	24	"Los Contendientes ganan con autoridad del duelo por la Supervivencia! 

Exatlón es una competencia deportiva de alto rendimiento en donde los participantes prueban su fuerza, inteligencia y coraje para convertirse en el ganador absoluto.

#Exatlón


¡Visita nuestro SITIO OFICIAL!
http://exatlonmexico.tv/

Síguenos en Facebook: https://www.facebook.com/ExatlonMx/

Síguenos en Instagram: https://www.instagram.com/ExatlonMx/

Síguenos en Twitter: https://twitter.com/exatlonmx"
9	IophBDIWyyc	Ven a Abrazarme ❤❤ TE EXTRAÑO ❤❤ El Vídeo de Amor Más Tierno del Mundo ❤❤	Marcel Amorín	22	People & Blogs	2017-11-27T14:51:31.000Z	frases de amor para WHATSAPP|facebook|frases de amor|vídeos de amor|palabras de amor|mensajes de amor|frases|te amo|video de amor|te extraño|videos románticos|imágenes de amor|pensamientos de amor|saludos de buenos días|mensaje de amor|buenos días amor|te extraño amor|música romántica|videos para dedicar|video para mi novio|vídeos para enamorados	385058	4124	211	315	"Bonito mensaje romántico con música de amor para dedicar a alguien especial que extrañas.
SUSCRÍBETE AQUÍ: https://goo.gl/WJehAi

Acompáñame en Facebook: https://goo.gl/WV86wT
Twitter: https://twitter.com/ImpactoPositiv2 
Suscríbete y Activa la campanita de las Notificaciones para recibir los últimos vídeos que voy subiendo! Gracias!! ツ"
